Attributes,Relationships
Harry Potter->Hogwarts,studied at
Harry Potter->Ron Weasley,schoolmate
Harry Potter->Hermione Granger,schoolmate
Harry Potter->Ginny Weasley,schoolmate
Harry Potter->Seamus Finnigan,schoolmate
Harry Potter->Dean Thomas,schoolmate
Harry Potter->Neville Longbottom,schoolmate
Harry Potter->Luna Lovegood,schoolmate
Harry Potter->Draco Malfoy,schoolmate
Harry Potter->Pansy Parkinson,schoolmate
Harry Potter->Cedric Diggory,schoolmate
Harry Potter->Fred Weasley,schoolmate
Harry Potter->George Weasley,schoolmate
Harry Potter->Padma Patil,schoolmate
Harry Potter->Susan Bones,schoolmate
Harry Potter->Zacharias Smith,schoolmate
Ron Weasley->Hogwarts,studied at
Hermione Granger->Hogwarts,studied at
Ginny Weasley->Hogwarts,studied at
Seamus Finnigan->Hogwarts,studied at
Dean Thomas->Hogwarts,studied at
Neville Longbottom->Hogwarts,studied at
Luna Lovegood->Hogwarts,studied at
Draco Malfoy->Hogwarts,studied at
Pansy Parkinson->Hogwarts,studied at
Cedric Diggory->Hogwarts,studied at
Fred Weasley->Hogwarts,studied at
George Weasley->Hogwarts,studied at
Padma Patil->Hogwarts,studied at
Susan Bones->Hogwarts,studied at
Zacharias Smith->Hogwarts,studied at
Hermione Granger->Ron Weasley,schoolmate
Seamus Finnigan->Gryffindor,house
Dean Thomas->Gryffindor,house
Neville Longbottom->Gryffindor,house
Pansy Parkinson->Slytherin,house
Cedric Diggory->Gryffindor,house
Padma Patil->Gryffindor,house
Zacharias Smith->Hufflepuff,house
Harry Potter->Ron Weasley->Hogwarts,schoolmate->studied at
Harry Potter->Hermione Granger->Hogwarts,schoolmate->studied at
Harry Potter->Hermione Granger->Ron Weasley,schoolmate->schoolmate
Harry Potter->Hermione Granger->Ron Weasley->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Ginny Weasley->Hogwarts,schoolmate->studied at
Harry Potter->Seamus Finnigan->Hogwarts,schoolmate->studied at
Harry Potter->Seamus Finnigan->Gryffindor,schoolmate->house
Harry Potter->Dean Thomas->Hogwarts,schoolmate->studied at
Harry Potter->Dean Thomas->Gryffindor,schoolmate->house
Harry Potter->Neville Longbottom->Hogwarts,schoolmate->studied at
Harry Potter->Neville Longbottom->Gryffindor,schoolmate->house
Harry Potter->Luna Lovegood->Hogwarts,schoolmate->studied at
Harry Potter->Draco Malfoy->Hogwarts,schoolmate->studied at
Harry Potter->Pansy Parkinson->Hogwarts,schoolmate->studied at
Harry Potter->Pansy Parkinson->Slytherin,schoolmate->house
Harry Potter->Cedric Diggory->Hogwarts,schoolmate->studied at
Harry Potter->Cedric Diggory->Gryffindor,schoolmate->house
Harry Potter->Fred Weasley->Hogwarts,schoolmate->studied at
Harry Potter->George Weasley->Hogwarts,schoolmate->studied at
Harry Potter->Padma Patil->Hogwarts,schoolmate->studied at
Harry Potter->Padma Patil->Gryffindor,schoolmate->house
Harry Potter->Susan Bones->Hogwarts,schoolmate->studied at
Harry Potter->Zacharias Smith->Hogwarts,schoolmate->studied at
Harry Potter->Zacharias Smith->Hufflepuff,schoolmate->house
Hermione Granger->Ron Weasley->Hogwarts,schoolmate->studied at
Ron Weasley->Gryffindor,house
Ginny Weasley->Gryffindor,house
Dean Thomas->Harry Potter,schoolmate
Dean Thomas->Ron Weasley,schoolmate
Dean Thomas->Hermione Granger,schoolmate
Harry Potter->Gryffindor,house
Draco Malfoy->Slytherin,house
Fred Weasley->Gryffindor,house
George Weasley->Gryffindor,house
Hermione Granger->Ginny Weasley,schoolmate
Hermione Granger->Seamus Finnigan,schoolmate
Hermione Granger->Neville Longbottom,schoolmate
Hermione Granger->Draco Malfoy,schoolmate
Hermione Granger->Cho Chang,schoolmate
Hermione Granger->Padma Patil,schoolmate
Hermione Granger->Luna Lovegood,schoolmate
Padma Patil->Ravenclaw,house
Ron Weasley->Hermione Granger,schoolmate
Pansy Parkinson->Draco Malfoy,schoolmate
Gryffindor->Hogwarts,belongs to
Hufflepuff->Hogwarts,belongs to
Ravenclaw->Hogwarts,belongs to
Slytherin->Hogwarts,belongs to
George Weasley->Gryffindor house,house
Padma Patil->Parvati Patil,schoolmate
Parvati Patil->Gryffindor,house
Susan Bones->Gryffindor,house
Zacharias Smith->Cedric Diggory,schoolmate
Hermione Granger->Gryffindor,house
Harry Potter->Ron Weasley->Gryffindor,schoolmate->house
Harry Potter->Ron Weasley->Gryffindor->Hogwarts,schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger,schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Hogwarts,schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Ginny Weasley,schoolmate->schoolmate->schoolmate
Harry Potter->Ron Weasley->Hermione Granger->Ginny Weasley->Hogwarts,schoolmate->schoolmate->schoolmate->studied at
Harry Potter->Ron Weasley->Hermione Granger->Ginny Weasley->Gryffindor,schoolmate->schoolmate->schoolmate->house
Harry Potter->Ron Weasley->Hermione Granger->Ginny Weasley->Gryffindor->Hogwarts,schoolmate->schoolmate->schoolmate->house->belongs to
Harry Potter->Ron Weasley->Hermione Granger->Seamus Finnigan,schoolmate->schoolmate->schoolmate
